Creighton
Purdue
Wisconsin
Houston
Auburn
McNeese
BYU
Gonzaga
Tennessee
Arkansas
Texas A&M
Drake
UCLA
St. John's (NY)
Michigan
Texas Tech
Baylor
Alabama
Iowa St.
Colorado St.
Duke
Saint Mary's (CA)
Ole Miss
Maryland
Florida
Kentucky
New Mexico
Arizona
UConn
Illinois
Michigan St.
Oregon
